DealNumber,CustomerName,DealershipName,Vehicle,Price,Date
5900,Aroush Knapp,Maxwell & Junior,2019 Porsche 911 2dr Cpe GT3 RS,"-140,651",6/7/2018
5901,Anwar Hoffman,"Legowart Kingorty, Ltd.",2021 Jeep Grand Cherokee Trackhawk,"-169,350",5/11/2018
5902,Ronnie Griffiths,Cheruharrison Auto,2021 Nissan GT-R Premium,"-198,048",4/8/2018
5903,Storm William,Mythicgarcia Dealership LTDA,2022 Mercedes-Benz S-Class Cabriolet,"-226,747",3/22/2018
5904,Aroush Knapp,Maxwell & Junior,2020 Porsche 911 2dr Cpe GT3 RS,"-255,446",6/7/2018
5905,Anwar Hoffman,"Legowart Kingorty, Ltd.",2022 Jeep Grand Cherokee Trackhawk,"-284,145",5/11/2018
5906,Ronnie Griffiths,Cheruharrison Auto,2022 Nissan GT-R Premium,"-312,844",4/8/2018
5907,Storm William,Mythicgarcia Dealership LTDA,2023 Mercedes-Benz S-Class Cabriolet,"-341,543",3/22/2018
5908,Aroush Knapp,Maxwell & Junior,2021 Porsche 911 2dr Cpe GT3 RS,"-370,242",6/7/2018
5909,Anwar Hoffman,"Legowart Kingorty, Ltd.",2023 Jeep Grand Cherokee Trackhawk,"-398,941",5/11/2018
5910,Ronnie Griffiths,Cheruharrison Auto,2023 Nissan GT-R Premium,"-427,640",4/8/2018
5911,Storm William,Mythicgarcia Dealership LTDA,2024 Mercedes-Benz S-Class Cabriolet,"-456,339",3/22/2018
5912,Aroush Knapp,Maxwell & Junior,2022 Porsche 911 2dr Cpe GT3 RS,"-485,037",6/7/2018
5913,Anwar Hoffman,"Legowart Kingorty, Ltd.",2024 Jeep Grand Cherokee Trackhawk,"-513,736",5/11/2018
5914,Ronnie Griffiths,Cheruharrison Auto,2024 Nissan GT-R Premium,"-542,435",4/8/2018
5915,Storm William,Mythicgarcia Dealership LTDA,2025 Mercedes-Benz S-Class Cabriolet,"-571,134",3/22/2018
5916,Aroush Knapp,Maxwell & Junior,2023 Porsche 911 2dr Cpe GT3 RS,"-599,833",6/7/2018
5917,Anwar Hoffman,"Legowart Kingorty, Ltd.",2025 Jeep Grand Cherokee Trackhawk,"-628,532",5/11/2018
5918,Ronnie Griffiths,Cheruharrison Auto,2025 Nissan GT-R Premium,"-657,231",4/8/2018
5919,Storm William,Mythicgarcia Dealership LTDA,2026 Mercedes-Benz S-Class Cabriolet,"-685,930",3/22/2018
5920,Aroush Knapp,Maxwell & Junior,2024 Porsche 911 2dr Cpe GT3 RS,"-714,629",6/7/2018
5921,Anwar Hoffman,"Legowart Kingorty, Ltd.",2026 Jeep Grand Cherokee Trackhawk,"-743,328",5/11/2018
5922,Ronnie Griffiths,Cheruharrison Auto,2026 Nissan GT-R Premium,"-772,026",4/8/2018
5923,Storm William,Mythicgarcia Dealership LTDA,2027 Mercedes-Benz S-Class Cabriolet,"-800,725",3/22/2018
5924,Aroush Knapp,Maxwell & Junior,2025 Porsche 911 2dr Cpe GT3 RS,"-829,424",6/7/2018
5925,Anwar Hoffman,"Legowart Kingorty, Ltd.",2027 Jeep Grand Cherokee Trackhawk,"-858,123",5/11/2018
5926,Ronnie Griffiths,Cheruharrison Auto,2027 Nissan GT-R Premium,"-886,822",4/8/2018
5927,Storm William,Mythicgarcia Dealership LTDA,2028 Mercedes-Benz S-Class Cabriolet,"-915,521",3/22/2018
5928,Aroush Knapp,Maxwell & Junior,2026 Porsche 911 2dr Cpe GT3 RS,"-944,220",6/7/2018
5929,Anwar Hoffman,"Legowart Kingorty, Ltd.",2028 Jeep Grand Cherokee Trackhawk,"-972,919",5/11/2018
5930,Ronnie Griffiths,Cheruharrison Auto,2028 Nissan GT-R Premium,"-1,001,618",4/8/2018
5931,Storm William,Mythicgarcia Dealership LTDA,2029 Mercedes-Benz S-Class Cabriolet,"-1,030,317",3/22/2018
5932,Aroush Knapp,Maxwell & Junior,2027 Porsche 911 2dr Cpe GT3 RS,"-1,059,015",6/7/2018
5933,Anwar Hoffman,"Legowart Kingorty, Ltd.",2029 Jeep Grand Cherokee Trackhawk,"-1,087,714",5/11/2018
5934,Ronnie Griffiths,Cheruharrison Auto,2029 Nissan GT-R Premium,"-1,116,413",4/8/2018
5935,Storm William,Mythicgarcia Dealership LTDA,2030 Mercedes-Benz S-Class Cabriolet,"-1,145,112",3/22/2018
5936,Aroush Knapp,Maxwell & Junior,2028 Porsche 911 2dr Cpe GT3 RS,"-1,173,811",6/7/2018
5937,Anwar Hoffman,"Legowart Kingorty, Ltd.",2030 Jeep Grand Cherokee Trackhawk,"-1,202,510",5/11/2018
5938,Ronnie Griffiths,Cheruharrison Auto,2030 Nissan GT-R Premium,"-1,231,209",4/8/2018
5939,Storm William,Mythicgarcia Dealership LTDA,2031 Mercedes-Benz S-Class Cabriolet,"-1,259,908",3/22/2018
5940,Aroush Knapp,Maxwell & Junior,2029 Porsche 911 2dr Cpe GT3 RS,"-1,288,607",6/7/2018
5941,Anwar Hoffman,"Legowart Kingorty, Ltd.",2031 Jeep Grand Cherokee Trackhawk,"-1,317,306",5/11/2018
5942,Ronnie Griffiths,Cheruharrison Auto,2031 Nissan GT-R Premium,"-1,346,004",4/8/2018
5943,Storm William,Mythicgarcia Dealership LTDA,2032 Mercedes-Benz S-Class Cabriolet,"-1,374,703",3/22/2018
5944,Aroush Knapp,Maxwell & Junior,2030 Porsche 911 2dr Cpe GT3 RS,"-1,403,402",6/7/2018
5945,Anwar Hoffman,"Legowart Kingorty, Ltd.",2032 Jeep Grand Cherokee Trackhawk,"-1,432,101",5/11/2018
5946,Ronnie Griffiths,Cheruharrison Auto,2032 Nissan GT-R Premium,"-1,460,800",4/8/2018
5947,Storm William,Mythicgarcia Dealership LTDA,2033 Mercedes-Benz S-Class Cabriolet,"-1,489,499",3/22/2018
5948,Aroush Knapp,Maxwell & Junior,2031 Porsche 911 2dr Cpe GT3 RS,"-1,518,198",6/7/2018
5949,Anwar Hoffman,"Legowart Kingorty, Ltd.",2033 Jeep Grand Cherokee Trackhawk,"-1,546,897",5/11/2018
5950,Ronnie Griffiths,Cheruharrison Auto,2033 Nissan GT-R Premium,"-1,575,596",4/8/2018
5951,Storm William,Mythicgarcia Dealership LTDA,2034 Mercedes-Benz S-Class Cabriolet,"-1,604,295",3/22/2018
5952,Aroush Knapp,Maxwell & Junior,2032 Porsche 911 2dr Cpe GT3 RS,"-1,632,993",6/7/2018
5953,Anwar Hoffman,"Legowart Kingorty, Ltd.",2034 Jeep Grand Cherokee Trackhawk,"-1,661,692",5/11/2018
5954,Ronnie Griffiths,Cheruharrison Auto,2034 Nissan GT-R Premium,"-1,690,391",4/8/2018
5955,Storm William,Mythicgarcia Dealership LTDA,2035 Mercedes-Benz S-Class Cabriolet,"-1,719,090",3/22/2018
5956,Aroush Knapp,Maxwell & Junior,2033 Porsche 911 2dr Cpe GT3 RS,"-1,747,789",6/7/2018
5957,Anwar Hoffman,"Legowart Kingorty, Ltd.",2035 Jeep Grand Cherokee Trackhawk,"-1,776,488",5/11/2018
5958,Ronnie Griffiths,Cheruharrison Auto,2035 Nissan GT-R Premium,"-1,805,187",4/8/2018
5959,Storm William,Mythicgarcia Dealership LTDA,2036 Mercedes-Benz S-Class Cabriolet,"-1,833,886",3/22/2018
5960,Aroush Knapp,Maxwell & Junior,2034 Porsche 911 2dr Cpe GT3 RS,"-1,862,585",6/7/2018
5961,Anwar Hoffman,"Legowart Kingorty, Ltd.",2036 Jeep Grand Cherokee Trackhawk,"-1,891,284",5/11/2018
5962,Ronnie Griffiths,Cheruharrison Auto,2036 Nissan GT-R Premium,"-1,919,982",4/8/2018
5963,Storm William,Mythicgarcia Dealership LTDA,2037 Mercedes-Benz S-Class Cabriolet,"-1,948,681",3/22/2018
5964,Aroush Knapp,Maxwell & Junior,2035 Porsche 911 2dr Cpe GT3 RS,"-1,977,380",6/7/2018
5965,Anwar Hoffman,"Legowart Kingorty, Ltd.",2037 Jeep Grand Cherokee Trackhawk,"-2,006,079",5/11/2018
5966,Ronnie Griffiths,Cheruharrison Auto,2037 Nissan GT-R Premium,"-2,034,778",4/8/2018
5967,Storm William,Mythicgarcia Dealership LTDA,2038 Mercedes-Benz S-Class Cabriolet,"-2,063,477",3/22/2018
5968,Aroush Knapp,Maxwell & Junior,2036 Porsche 911 2dr Cpe GT3 RS,"-2,092,176",6/7/2018
5969,Anwar Hoffman,"Legowart Kingorty, Ltd.",2038 Jeep Grand Cherokee Trackhawk,"-2,120,875",5/11/2018
5970,Ronnie Griffiths,Cheruharrison Auto,2038 Nissan GT-R Premium,"-2,149,574",4/8/2018
5971,Storm William,Mythicgarcia Dealership LTDA,2039 Mercedes-Benz S-Class Cabriolet,"-2,178,273",3/22/2018
5972,Aroush Knapp,Maxwell & Junior,2037 Porsche 911 2dr Cpe GT3 RS,"-2,206,971",6/7/2018
5973,Anwar Hoffman,"Legowart Kingorty, Ltd.",2039 Jeep Grand Cherokee Trackhawk,"-2,235,670",5/11/2018
5974,Ronnie Griffiths,Cheruharrison Auto,2039 Nissan GT-R Premium,"-2,264,369",4/8/2018
5975,Storm William,Mythicgarcia Dealership LTDA,2040 Mercedes-Benz S-Class Cabriolet,"-2,293,068",3/22/2018
5976,Aroush Knapp,Maxwell & Junior,2038 Porsche 911 2dr Cpe GT3 RS,"-2,321,767",6/7/2018
5977,Anwar Hoffman,"Legowart Kingorty, Ltd.",2040 Jeep Grand Cherokee Trackhawk,"-2,350,466",5/11/2018
5978,Ronnie Griffiths,Cheruharrison Auto,2040 Nissan GT-R Premium,"-2,379,165",4/8/2018
5979,Storm William,Mythicgarcia Dealership LTDA,2041 Mercedes-Benz S-Class Cabriolet,"-2,407,864",3/22/2018
5980,Aroush Knapp,Maxwell & Junior,2039 Porsche 911 2dr Cpe GT3 RS,"-2,436,563",6/7/2018
5981,Anwar Hoffman,"Legowart Kingorty, Ltd.",2041 Jeep Grand Cherokee Trackhawk,"-2,465,262",5/11/2018
5982,Ronnie Griffiths,Cheruharrison Auto,2041 Nissan GT-R Premium,"-2,493,960",4/8/2018
5983,Storm William,Mythicgarcia Dealership LTDA,2042 Mercedes-Benz S-Class Cabriolet,"-2,522,659",3/22/2018
5984,Aroush Knapp,Maxwell & Junior,2040 Porsche 911 2dr Cpe GT3 RS,"-2,551,358",6/7/2018
5985,Anwar Hoffman,"Legowart Kingorty, Ltd.",2042 Jeep Grand Cherokee Trackhawk,"-2,580,057",5/11/2018
5986,Ronnie Griffiths,Cheruharrison Auto,2042 Nissan GT-R Premium,"-2,608,756",4/8/2018
5987,Storm William,Mythicgarcia Dealership LTDA,2043 Mercedes-Benz S-Class Cabriolet,"-2,637,455",3/22/2018
5988,Aroush Knapp,Maxwell & Junior,2041 Porsche 911 2dr Cpe GT3 RS,"-2,666,154",6/7/2018
5989,Anwar Hoffman,"Legowart Kingorty, Ltd.",2043 Jeep Grand Cherokee Trackhawk,"-2,694,853",5/11/2018
5990,Ronnie Griffiths,Cheruharrison Auto,2043 Nissan GT-R Premium,"-2,723,552",4/8/2018
5991,Storm William,Mythicgarcia Dealership LTDA,2044 Mercedes-Benz S-Class Cabriolet,"-2,752,251",3/22/2018
5992,Aroush Knapp,Maxwell & Junior,2042 Porsche 911 2dr Cpe GT3 RS,"-2,780,949",6/7/2018
5993,Anwar Hoffman,"Legowart Kingorty, Ltd.",2044 Jeep Grand Cherokee Trackhawk,"-2,809,648",5/11/2018
5994,Ronnie Griffiths,Cheruharrison Auto,2044 Nissan GT-R Premium,"-2,838,347",4/8/2018
5995,Storm William,Mythicgarcia Dealership LTDA,2045 Mercedes-Benz S-Class Cabriolet,"-2,867,046",3/22/2018
5996,Aroush Knapp,Maxwell & Junior,2043 Porsche 911 2dr Cpe GT3 RS,"-2,895,745",6/7/2018
5997,Anwar Hoffman,"Legowart Kingorty, Ltd.",2045 Jeep Grand Cherokee Trackhawk,"-2,924,444",5/11/2018
5998,Ronnie Griffiths,Cheruharrison Auto,2045 Nissan GT-R Premium,"-2,953,143",4/8/2018
5999,Storm William,Mythicgarcia Dealership LTDA,2046 Mercedes-Benz S-Class Cabriolet,"-2,981,842",3/22/2018
6000,Aroush Knapp,Maxwell & Junior,2044 Porsche 911 2dr Cpe GT3 RS,"-3,010,541",6/7/2018
6001,Anwar Hoffman,"Legowart Kingorty, Ltd.",2046 Jeep Grand Cherokee Trackhawk,"-3,039,240",5/11/2018
6002,Ronnie Griffiths,Cheruharrison Auto,2046 Nissan GT-R Premium,"-3,067,938",4/8/2018
6003,Storm William,Mythicgarcia Dealership LTDA,2047 Mercedes-Benz S-Class Cabriolet,"-3,096,637",3/22/2018
6004,Aroush Knapp,Maxwell & Junior,2045 Porsche 911 2dr Cpe GT3 RS,"-3,125,336",6/7/2018
6005,Anwar Hoffman,"Legowart Kingorty, Ltd.",2047 Jeep Grand Cherokee Trackhawk,"-3,154,035",5/11/2018
6006,Ronnie Griffiths,Cheruharrison Auto,2047 Nissan GT-R Premium,"-3,182,734",4/8/2018
6007,Storm William,Mythicgarcia Dealership LTDA,2048 Mercedes-Benz S-Class Cabriolet,"-3,211,433",3/22/2018
6008,Aroush Knapp,Maxwell & Junior,2046 Porsche 911 2dr Cpe GT3 RS,"-3,240,132",6/7/2018
6009,Anwar Hoffman,"Legowart Kingorty, Ltd.",2048 Jeep Grand Cherokee Trackhawk,"-3,268,831",5/11/2018
6010,Ronnie Griffiths,Cheruharrison Auto,2048 Nissan GT-R Premium,"-3,297,530",4/8/2018
6011,Storm William,Mythicgarcia Dealership LTDA,2049 Mercedes-Benz S-Class Cabriolet,"-3,326,229",3/22/2018
6012,Aroush Knapp,Maxwell & Junior,2047 Porsche 911 2dr Cpe GT3 RS,"-3,354,927",6/7/2018
6013,Anwar Hoffman,"Legowart Kingorty, Ltd.",2049 Jeep Grand Cherokee Trackhawk,"-3,383,626",5/11/2018
6014,Ronnie Griffiths,Cheruharrison Auto,2049 Nissan GT-R Premium,"-3,412,325",4/8/2018
6015,Storm William,Mythicgarcia Dealership LTDA,2050 Mercedes-Benz S-Class Cabriolet,"-3,441,024",3/22/2018
6016,Aroush Knapp,Maxwell & Junior,2048 Porsche 911 2dr Cpe GT3 RS,"-3,469,723",6/7/2018
6017,Anwar Hoffman,"Legowart Kingorty, Ltd.",2050 Jeep Grand Cherokee Trackhawk,"-3,498,422",5/11/2018
6018,Ronnie Griffiths,Cheruharrison Auto,2050 Nissan GT-R Premium,"-3,527,121",4/8/2018
6019,Storm William,Mythicgarcia Dealership LTDA,2051 Mercedes-Benz S-Class Cabriolet,"-3,555,820",3/22/2018
6020,Aroush Knapp,Maxwell & Junior,2049 Porsche 911 2dr Cpe GT3 RS,"-3,584,519",6/7/2018
6021,Anwar Hoffman,"Legowart Kingorty, Ltd.",2051 Jeep Grand Cherokee Trackhawk,"-3,613,218",5/11/2018
6022,Ronnie Griffiths,Cheruharrison Auto,2051 Nissan GT-R Premium,"-3,641,916",4/8/2018
6023,Storm William,Mythicgarcia Dealership LTDA,2052 Mercedes-Benz S-Class Cabriolet,"-3,670,615",3/22/2018
6024,Aroush Knapp,Maxwell & Junior,2050 Porsche 911 2dr Cpe GT3 RS,"-3,699,314",6/7/2018
6025,Anwar Hoffman,"Legowart Kingorty, Ltd.",2052 Jeep Grand Cherokee Trackhawk,"-3,728,013",5/11/2018
6026,Ronnie Griffiths,Cheruharrison Auto,2052 Nissan GT-R Premium,"-3,756,712",4/8/2018
6027,Storm William,Mythicgarcia Dealership LTDA,2053 Mercedes-Benz S-Class Cabriolet,"-3,785,411",3/22/2018
6028,Aroush Knapp,Maxwell & Junior,2051 Porsche 911 2dr Cpe GT3 RS,"-3,814,110",6/7/2018
6029,Anwar Hoffman,"Legowart Kingorty, Ltd.",2053 Jeep Grand Cherokee Trackhawk,"-3,842,809",5/11/2018
6030,Ronnie Griffiths,Cheruharrison Auto,2053 Nissan GT-R Premium,"-3,871,508",4/8/2018
6031,Storm William,Mythicgarcia Dealership LTDA,2054 Mercedes-Benz S-Class Cabriolet,"-3,900,207",3/22/2018
6032,Aroush Knapp,Maxwell & Junior,2052 Porsche 911 2dr Cpe GT3 RS,"-3,928,905",6/7/2018
6033,Anwar Hoffman,"Legowart Kingorty, Ltd.",2054 Jeep Grand Cherokee Trackhawk,"-3,957,604",5/11/2018
6034,Ronnie Griffiths,Cheruharrison Auto,2054 Nissan GT-R Premium,"-3,986,303",4/8/2018
6035,Storm William,Mythicgarcia Dealership LTDA,2055 Mercedes-Benz S-Class Cabriolet,"-4,015,002",3/22/2018
6036,Aroush Knapp,Maxwell & Junior,2053 Porsche 911 2dr Cpe GT3 RS,"-4,043,701",6/7/2018
6037,Anwar Hoffman,"Legowart Kingorty, Ltd.",2055 Jeep Grand Cherokee Trackhawk,"-4,072,400",5/11/2018
6038,Ronnie Griffiths,Cheruharrison Auto,2055 Nissan GT-R Premium,"-4,101,099",4/8/2018
6039,Storm William,Mythicgarcia Dealership LTDA,2056 Mercedes-Benz S-Class Cabriolet,"-4,129,798",3/22/2018
6040,Aroush Knapp,Maxwell & Junior,2054 Porsche 911 2dr Cpe GT3 RS,"-4,158,497",6/7/2018
6041,Anwar Hoffman,"Legowart Kingorty, Ltd.",2056 Jeep Grand Cherokee Trackhawk,"-4,187,196",5/11/2018
6042,Ronnie Griffiths,Cheruharrison Auto,2056 Nissan GT-R Premium,"-4,215,894",4/8/2018
6043,Storm William,Mythicgarcia Dealership LTDA,2057 Mercedes-Benz S-Class Cabriolet,"-4,244,593",3/22/2018
6044,Aroush Knapp,Maxwell & Junior,2055 Porsche 911 2dr Cpe GT3 RS,"-4,273,292",6/7/2018
6045,Anwar Hoffman,"Legowart Kingorty, Ltd.",2057 Jeep Grand Cherokee Trackhawk,"-4,301,991",5/11/2018
6046,Ronnie Griffiths,Cheruharrison Auto,2057 Nissan GT-R Premium,"-4,330,690",4/8/2018
6047,Storm William,Mythicgarcia Dealership LTDA,2058 Mercedes-Benz S-Class Cabriolet,"-4,359,389",3/22/2018
6048,Aroush Knapp,Maxwell & Junior,2056 Porsche 911 2dr Cpe GT3 RS,"-4,388,088",6/7/2018
6049,Anwar Hoffman,"Legowart Kingorty, Ltd.",2058 Jeep Grand Cherokee Trackhawk,"-4,416,787",5/11/2018
6050,Ronnie Griffiths,Cheruharrison Auto,2058 Nissan GT-R Premium,"-4,445,486",4/8/2018
6051,Storm William,Mythicgarcia Dealership LTDA,2059 Mercedes-Benz S-Class Cabriolet,"-4,474,185",3/22/2018
6052,Aroush Knapp,Maxwell & Junior,2057 Porsche 911 2dr Cpe GT3 RS,"-4,502,883",6/7/2018
6053,Anwar Hoffman,"Legowart Kingorty, Ltd.",2059 Jeep Grand Cherokee Trackhawk,"-4,531,582",5/11/2018
6054,Ronnie Griffiths,Cheruharrison Auto,2059 Nissan GT-R Premium,"-4,560,281",4/8/2018
6055,Storm William,Mythicgarcia Dealership LTDA,2060 Mercedes-Benz S-Class Cabriolet,"-4,588,980",3/22/2018
6056,Aroush Knapp,Maxwell & Junior,2058 Porsche 911 2dr Cpe GT3 RS,"-4,617,679",6/7/2018
6057,Anwar Hoffman,"Legowart Kingorty, Ltd.",2060 Jeep Grand Cherokee Trackhawk,"-4,646,378",5/11/2018
6058,Ronnie Griffiths,Cheruharrison Auto,2060 Nissan GT-R Premium,"-4,675,077",4/8/2018
6059,Storm William,Mythicgarcia Dealership LTDA,2061 Mercedes-Benz S-Class Cabriolet,"-4,703,776",3/22/2018
6060,Aroush Knapp,Maxwell & Junior,2059 Porsche 911 2dr Cpe GT3 RS,"-4,732,475",6/7/2018
6061,Anwar Hoffman,"Legowart Kingorty, Ltd.",2061 Jeep Grand Cherokee Trackhawk,"-4,761,174",5/11/2018
6062,Ronnie Griffiths,Cheruharrison Auto,2061 Nissan GT-R Premium,"-4,789,872",4/8/2018
6063,Storm William,Mythicgarcia Dealership LTDA,2062 Mercedes-Benz S-Class Cabriolet,"-4,818,571",3/22/2018
6064,Aroush Knapp,Maxwell & Junior,2060 Porsche 911 2dr Cpe GT3 RS,"-4,847,270",6/7/2018
6065,Anwar Hoffman,"Legowart Kingorty, Ltd.",2062 Jeep Grand Cherokee Trackhawk,"-4,875,969",5/11/2018
6066,Ronnie Griffiths,Cheruharrison Auto,2062 Nissan GT-R Premium,"-4,904,668",4/8/2018
6067,Storm William,Mythicgarcia Dealership LTDA,2063 Mercedes-Benz S-Class Cabriolet,"-4,933,367",3/22/2018
6068,Aroush Knapp,Maxwell & Junior,2061 Porsche 911 2dr Cpe GT3 RS,"-4,962,066",6/7/2018
6069,Anwar Hoffman,"Legowart Kingorty, Ltd.",2063 Jeep Grand Cherokee Trackhawk,"-4,990,765",5/11/2018
6070,Ronnie Griffiths,Cheruharrison Auto,2063 Nissan GT-R Premium,"-5,019,464",4/8/2018
6071,Storm William,Mythicgarcia Dealership LTDA,2064 Mercedes-Benz S-Class Cabriolet,"-5,048,163",3/22/2018
6072,Aroush Knapp,Maxwell & Junior,2062 Porsche 911 2dr Cpe GT3 RS,"-5,076,861",6/7/2018
6073,Anwar Hoffman,"Legowart Kingorty, Ltd.",2064 Jeep Grand Cherokee Trackhawk,"-5,105,560",5/11/2018
6074,Ronnie Griffiths,Cheruharrison Auto,2064 Nissan GT-R Premium,"-5,134,259",4/8/2018
6075,Storm William,Mythicgarcia Dealership LTDA,2065 Mercedes-Benz S-Class Cabriolet,"-5,162,958",3/22/2018
6076,Aroush Knapp,Maxwell & Junior,2063 Porsche 911 2dr Cpe GT3 RS,"-5,191,657",6/7/2018
6077,Anwar Hoffman,"Legowart Kingorty, Ltd.",2065 Jeep Grand Cherokee Trackhawk,"-5,220,356",5/11/2018
6078,Ronnie Griffiths,Cheruharrison Auto,2065 Nissan GT-R Premium,"-5,249,055",4/8/2018
6079,Storm William,Mythicgarcia Dealership LTDA,2066 Mercedes-Benz S-Class Cabriolet,"-5,277,754",3/22/2018
6080,Aroush Knapp,Maxwell & Junior,2064 Porsche 911 2dr Cpe GT3 RS,"-5,306,453",6/7/2018
6081,Anwar Hoffman,"Legowart Kingorty, Ltd.",2066 Jeep Grand Cherokee Trackhawk,"-5,335,152",5/11/2018
6082,Ronnie Griffiths,Cheruharrison Auto,2066 Nissan GT-R Premium,"-5,363,850",4/8/2018
6083,Storm William,Mythicgarcia Dealership LTDA,2067 Mercedes-Benz S-Class Cabriolet,"-5,392,549",3/22/2018
6084,Aroush Knapp,Maxwell & Junior,2065 Porsche 911 2dr Cpe GT3 RS,"-5,421,248",6/7/2018
6085,Anwar Hoffman,"Legowart Kingorty, Ltd.",2067 Jeep Grand Cherokee Trackhawk,"-5,449,947",5/11/2018
6086,Ronnie Griffiths,Cheruharrison Auto,2067 Nissan GT-R Premium,"-5,478,646",4/8/2018
6087,Storm William,Mythicgarcia Dealership LTDA,2068 Mercedes-Benz S-Class Cabriolet,"-5,507,345",3/22/2018
6088,Aroush Knapp,Maxwell & Junior,2066 Porsche 911 2dr Cpe GT3 RS,"-5,536,044",6/7/2018
6089,Anwar Hoffman,"Legowart Kingorty, Ltd.",2068 Jeep Grand Cherokee Trackhawk,"-5,564,743",5/11/2018
6090,Ronnie Griffiths,Cheruharrison Auto,2068 Nissan GT-R Premium,"-5,593,442",4/8/2018
6091,Storm William,Mythicgarcia Dealership LTDA,2069 Mercedes-Benz S-Class Cabriolet,"-5,622,141",3/22/2018
6092,Aroush Knapp,Maxwell & Junior,2067 Porsche 911 2dr Cpe GT3 RS,"-5,650,839",6/7/2018
6093,Anwar Hoffman,"Legowart Kingorty, Ltd.",2069 Jeep Grand Cherokee Trackhawk,"-5,679,538",5/11/2018
6094,Ronnie Griffiths,Cheruharrison Auto,2069 Nissan GT-R Premium,"-5,708,237",4/8/2018
6095,Storm William,Mythicgarcia Dealership LTDA,2070 Mercedes-Benz S-Class Cabriolet,"-5,736,936",3/22/2018
6096,Aroush Knapp,Maxwell & Junior,2068 Porsche 911 2dr Cpe GT3 RS,"-5,765,635",6/7/2018
6097,Anwar Hoffman,"Legowart Kingorty, Ltd.",2070 Jeep Grand Cherokee Trackhawk,"-5,794,334",5/11/2018
6098,Ronnie Griffiths,Cheruharrison Auto,2070 Nissan GT-R Premium,"-5,823,033",4/8/2018
6099,Storm William,Mythicgarcia Dealership LTDA,2071 Mercedes-Benz S-Class Cabriolet,"-5,851,732",3/22/2018
6100,Aroush Knapp,Maxwell & Junior,2069 Porsche 911 2dr Cpe GT3 RS,"-5,880,431",6/7/2018
6101,Anwar Hoffman,"Legowart Kingorty, Ltd.",2071 Jeep Grand Cherokee Trackhawk,"-5,909,130",5/11/2018
6102,Ronnie Griffiths,Cheruharrison Auto,2071 Nissan GT-R Premium,"-5,937,828",4/8/2018
6103,Storm William,Mythicgarcia Dealership LTDA,2072 Mercedes-Benz S-Class Cabriolet,"-5,966,527",3/22/2018
6104,Aroush Knapp,Maxwell & Junior,2070 Porsche 911 2dr Cpe GT3 RS,"-5,995,226",6/7/2018
6105,Anwar Hoffman,"Legowart Kingorty, Ltd.",2072 Jeep Grand Cherokee Trackhawk,"-6,023,925",5/11/2018
6106,Ronnie Griffiths,Cheruharrison Auto,2072 Nissan GT-R Premium,"-6,052,624",4/8/2018
